序号,原书页码,原词条,lexeme_uid,lemma,pos,ipa,english,spanish,chinese,example_fr,example_en,example_es,example_zh,review_status
429,218,inquiéter(s'),fr:inquiéter:verb:1,inquiéter,verb,/ɛ̃.kje.te/,to worry,inquietar,担心,Mon retard va inquiéter mes parents.,My lateness is going to worry my parents.,Mi retraso va a preocupar a mis padres.,我迟到会让父母担心。,machine-assisted
430,218,inspecteur(trice),fr:inspecteur:noun:1,inspecteur,noun,/ɛ̃s.pɛk.tœʁ/,inspector,inspector,检查员；视察员,Voici l’inspecteur.,Here it is.,Aquí está.,这是检查员。,machine-assisted
431,218,inspecteur de police,fr:inspecteur de police:expression:1,inspecteur de police,expression,/ɛ̃spɛktˈœʁ də- polˈis/,police inspector; detective,inspector de policía,警探；刑警,L’inspecteur de police pose des questions.,The police inspector is asking questions.,El inspector de policía hace preguntas.,警务督察提问。,machine-assisted
432,218,installer,fr:installer:verb:1,installer,verb,/ɛ̃s.ta.le/,to install,instalar,安置，放置,Je vais installer cette application.,I am going to install this app.,Voy a instalar esta aplicación.,我将安装此应用程序。,machine-assisted
433,218,institut,fr:institut:noun:1,institut,noun,/ɛ̃s.ti.ty/,institute,instituto,机构；学院,Voici l’institut.,Here it is.,Aquí está.,这是机构。,machine-assisted
434,218,interdit(e),fr:interdit:adjective:1,interdit,adjective,/ɛ̃.tɛʁ.di/,"forbidden, prohibited, off-limits",prohibido,被禁止的,C’est quelque chose d’interdit.,"It is something forbidden, prohibited, off-limits.",Es algo prohibido.,这是被禁止的事情。,machine-assisted
435,218,intéressant(e),fr:intéressant:adjective:1,intéressant,adjective,/ɛ̃.te.ʁɛ.sɑ̃/,interesting,interesante,有趣的，有意义的,C’est quelque chose d’intéressant.,It is something interesting.,Es algo interesante.,这是一件很有趣的事。,machine-assisted
436,218,Internet,fr:internet:proper_noun:1,Internet,proper_noun,/ɛ̃.tɛʁ.nɛt/,the Internet,Internet,因特网,Je connais bien Internet.,I know the Internet well.,Conozco bien Internet.,我很了解互联网。,machine-assisted
437,218,interview,fr:interview:noun:1,interview,noun,/ɛ̃.tɛʁ.vju/,interview (by a journalist),entrevista,采访，访谈,On parle des interviews.,We are talking about it.,Estamos hablando de ello.,我们正在谈论采访。,machine-assisted
438,218,invité(e),fr:invité:noun:1,invité,noun,/ɛ̃.vi.te/,guest (person who is invited),invitado,来宾,On parle de l’invité.,We are talking about it.,Estamos hablando de ello.,我们正在谈论来宾。,machine-assisted
439,218,inviter,fr:inviter:verb:1,inviter,verb,/ɛ̃.vi.te/,to invite,invitar o convidar,邀请,Je vais inviter mes amis.,I am going to invite my friends.,Voy a invitar o convidar a mis amigos.,我会邀请我的朋友。,machine-assisted
440,218,Irlande,fr:irlande:proper_noun:1,Irlande,proper_noun,/iʁ.lɑ̃d/,Ireland (a country in northwestern Europe),irlanda (isla),爱尔兰,Je connais bien Irlande.,I know Ireland well.,Conozco bien Irlanda.,我很了解爱尔兰。,machine-assisted
441,218,italien,fr:italien:noun:1,italien,noun,/i.ta.ljɛ̃/,Italian (language),italiano,意大利语,Voici l’italien.,Here it is.,Aquí está.,这是意大利语。,machine-assisted
442,218,Italien(ne),fr:italien:noun:2,Italien,noun,/i.ta.ljɛ̃/,Italian (person),italiano,意大利人,On parle de l’Italien.,We are talking about it.,Estamos hablando de ello.,我们正在谈论意大利人。,machine-assisted
443,218,italien(ne),fr:italien:adjective:1,italien,adjective,/i.ta.ljɛ̃/,Italian,italiano,意大利的,C’est quelque chose d’italien.,It is something Italian.,Es algo italiano.,这是意大利的东西。,machine-assisted
444,219,janvier,fr:janvier:noun:1,janvier,noun,/ʒɑ̃.vje/,January,enero,一月,Nous partons en janvier.,We are leaving in January.,Nos vamos en enero.,我们一月份出发。,machine-assisted
445,219,Japon,fr:japon:proper_noun:1,Japon,proper_noun,/ʒa.pɔ̃/,Japan (a country in East Asia),japón,日本,Je connais bien Japon.,I know Japan well.,Conozco bien Japón.,我很了解日本。,machine-assisted
446,219,Japonais(e),fr:japonais:noun:1,Japonais,noun,/ʒaponˈɛ/,resident or native of Japan; Japanese person (male or of unspecified gender),japonés,日本人,On parle du Japonais.,We are talking about it.,Estamos hablando de ello.,我们正在谈论日本人。,machine-assisted
447,219,japonais(e),fr:japonais:adjective:1,japonais,adjective,/ʒa.pɔ.nɛ/,Japanese,japonés,日本的,C’est quelque chose de japonais.,It is something Japanese.,Es algo japonés.,这是日本的东西。,machine-assisted
448,219,jardin,fr:jardin:noun:1,jardin,noun,/ʒaʁ.dɛ̃/,garden,jardín,公园，花园,Voici le jardin.,Here it is.,Aquí está.,这是公园。,machine-assisted
449,219,jean,fr:jean:noun:1,jean,noun,/dʒin/,a pair of jeans,color de mezclilla,牛仔裤,Voici le jean.,Here it is.,Aquí está.,这是牛仔裤。,machine-assisted
450,219,jeudi,fr:jeudi:noun:1,jeudi,noun,/ʒø.di/,Thursday (day of the week),jueves,周四,Le train part jeudi matin.,The train leaves on Thursday morning.,El tren sale el jueves por la mañana.,火车周四早上出发。,machine-assisted
451,219,joli(e),fr:joli:adjective:1,joli,adjective,/ʒɔ.li/,pretty; cute,bonito,漂亮的，好看的,C’est quelque chose de joli.,It is something pretty.,Es algo bonito.,这很漂亮。,machine-assisted
452,219,jouer,fr:jouer:verb:1,jouer,verb,/ʒwe/,to play (engage in games or play),jugar,玩；演奏,Je vais jouer au football.,I am going to play football.,Voy a jugar al fútbol.,我要去踢足球。,machine-assisted
453,219,jouet,fr:jouet:noun:1,jouet,noun,/ʒwɛ/,toy; plaything,juguete,玩具,On parle du jouet.,We are talking about it.,Estamos hablando de ello.,我们正在谈论玩具。,machine-assisted
454,219,jour,fr:jour:noun:1,jour,noun,/ʒuʁ/,day,día,日子，天,Je travaille cinq jours par semaine.,I work five days a week.,Trabajo cinco días a la semana.,我每周工作五天。,seed-reviewed
455,219,du jour,fr:du jour:expression:1,du jour,expression,/dy- ʒˈuʁ/,of the day; today's,del día,当天的，当日的,Je prends le plat du jour.,I will have the dish of the day.,Tomo el plato del día.,我要点今日特餐。,machine-assisted
456,219,journal,fr:journal:noun:1,journal,noun,/ʒuʁ.nal/,"diary, journal","periódico, diario",报纸,On parle du journal.,We are talking about it.,Estamos hablando de ello.,我们正在谈论报纸。,machine-assisted
457,219,journaliste,fr:journaliste:noun:1,journaliste,noun,/ʒuʁ.na.list/,a journalist,periodista,新闻工作者，新闻记者,Voici les journalistes.,Here it is.,Aquí está.,这些是新闻工作者。,machine-assisted
458,219,journée,fr:journée:noun:1,journée,noun,/ʒuʁ.ne/,day,jornada,一天，一昼夜；白天，白昼,Voici la journée.,Here it is.,Aquí está.,这是一天。,machine-assisted
459,219,juillet,fr:juillet:noun:1,juillet,noun,/ʒɥi.jɛ/,July,julio,七月,Je prends mes vacances en juillet.,I take my holiday in July.,Tomo mis vacaciones en julio.,我七月要休假。,machine-assisted
460,219,juin,fr:juin:noun:1,juin,noun,/ʒɥɛ̃/,June,junio,六月,Il fait chaud en juin.,It is hot in June.,Hace calor en junio.,六月天气炎热。,machine-assisted
461,219,jupe,fr:jupe:noun:1,jupe,noun,/ʒyp/,skirt,falda,裙子,Voici la jupe.,Here it is.,Aquí está.,这是裙子。,machine-assisted
462,219,jus,fr:jus:noun:1,jus,noun,/ʒy/,juice,"jugo, zumo",果汁,Voici le jus.,Here it is.,Aquí está.,这是果汁。,machine-assisted
463,219,jusque,fr:jusque:preposition:1,jusque,preposition,/ʒysk/,"until, up to",hasta,直到，直至,Nous marchons jusque chez lui.,We are walking all the way to his place.,Caminamos hasta su casa.,我们步行到他家。,machine-assisted
464,219,juste,fr:juste:adjective:1,juste,adjective,/ʒyst/,"fair, just","justo, correcto",正好，恰巧,C’est quelque chose de juste.,"It is something fair, just.","Es algo justo, correcto.",这是公平的事情。,machine-assisted
465,219,kilo,fr:kilo:noun:1,kilo,noun,/ki.lo/,kilo,kilo,公斤，千克（的缩写）,On parle du kilo.,We are talking about it.,Estamos hablando de ello.,我们正在谈论公斤。,machine-assisted
466,219,kilomètre,fr:kilomètre:noun:1,kilomètre,noun,/ki.lɔ.mɛːtʁ/,kilometre (UK) / kilometer (US),kilómetro,千米,On parle du kilomètre.,We are talking about it.,Estamos hablando de ello.,我们正在谈论千米。,machine-assisted
467,219,là,fr:là:adverb:1,là,adverb,/la/,referring to physical place; there,allí,那儿；那里,Posez le sac là.,Put the bag there.,Ponga la bolsa ahí.,把袋子放在那里。,machine-assisted
468,219,là-bas,fr:là-bas:adverb:1,là-bas,adverb,/la.ba/,"there, over there",allá,那里，那边,Mes amis habitent là-bas.,My friends live over there.,Mis amigos viven allí.,我的朋友住在那里。,machine-assisted
469,219,laisser,fr:laisser:verb:1,laisser,verb,/lɛ.se/,"to leave, to leave behind",dejar,放开，使得,Je vais laisser la porte ouverte.,I am going to leave the door open.,Voy a dejar la puerta abierta.,我会让门开着。,machine-assisted
470,219,lait,fr:lait:noun:1,lait,noun,/lɛ/,milk,leche,牛奶,Voici le lait.,Here it is.,Aquí está.,这是牛奶。,machine-assisted
471,219,langue,fr:langue:noun:1,langue,noun,/lɑ̃ɡ/,tongue,lengua,语言；舌头,Voici la langue.,Here it is.,Aquí está.,这是语言。,machine-assisted
472,219,Lausanne,fr:lausanne:proper_noun:1,Lausanne,proper_noun,/lo.zan/,"Lausanne (a municipality and city, the capital of Vaud canton, in western Switzerland, in which French is the main language)",Lausana,洛桑（瑞士）,Je connais bien Lausanne.,I know Lausanne well.,Conozco bien Lausana.,我很了解洛桑。,machine-assisted
473,219,laver(se),fr:laver:verb:1,laver,verb,/la.ve/,to wash,lavar,洗漱,Je vais laver la voiture.,I am going to wash the car.,Voy a lavar el coche.,我要去洗车。,machine-assisted
474,219,lecture,fr:lecture:noun:1,lecture,noun,/lɛk.tyʁ/,"reading (act or process of reading, interpretation, material read, and some other senses)",lectura,阅读,Voici la lecture.,Here it is.,Aquí está.,这是阅读。,machine-assisted
475,219,légumes,fr:légumes:noun:1,légumes,noun,/leɡˈym/,vegetables,verduras,蔬菜,Voici les légumes.,Here it is.,Aquí está.,这些是蔬菜。,machine-assisted
476,219,lettre,fr:lettre:noun:1,lettre,noun,/lɛtʁ/,letter (written character),"carta₁, epístola, misiva",信；字母,Voici la lettre.,Here it is.,Aquí está.,这是信。,machine-assisted
477,219,lever(se),fr:lever:verb:1,lever,verb,/lə.ve/,to raise,"levantar, alzar",起床；起身，站起,Je vais lever la main.,I am going to raise his hand.,Voy a levantar la mano.,我举手。,machine-assisted
478,219,libre,fr:libre:adjective:1,libre,adjective,/libʁ/,"free, at liberty",libre,空闲的,C’est quelque chose de libre.,"It is something free, at liberty.",Es algo libre.,这是空闲的。,machine-assisted
479,219,lieu,fr:lieu:noun:1,lieu,noun,/ljø/,place,"lugar, sitio",地点，地方,On parle du lieu.,We are talking about it.,Estamos hablando de ello.,我们正在谈论地点。,machine-assisted
480,219,ligne,fr:ligne:noun:1,ligne,noun,/liɲ/,line,"línea, renglón",线；运输线路,On parle de la ligne.,We are talking about it.,Estamos hablando de ello.,我们正在谈论线。,machine-assisted
481,219,Lille,fr:lille:proper_noun:1,Lille,proper_noun,/lil/,"Lille (the capital of Nord department and the Hauts-de-France region, France)",lille,里尔（法国）,Je connais bien Lille.,I know Lille well.,Conozco bien Lille.,我很了解里尔。,machine-assisted
482,219,lire,fr:lire:verb:1,lire,verb,/liʁ/,to read,leer,读,Je vais lire le journal.,I am going to read the newspaper.,Voy a leer el periódico.,我要去读报纸。,machine-assisted
483,219,liste,fr:liste:noun:1,liste,noun,/list/,list,lista,单子，清单,On parle de la liste.,We are talking about it.,Estamos hablando de ello.,我们正在谈论单子。,machine-assisted
484,219,lit,fr:lit:noun:1,lit,noun,/li/,bed,cama,床,On parle du lit.,We are talking about it.,Estamos hablando de ello.,我们正在谈论床。,machine-assisted
485,219,litre,fr:litre:noun:1,litre,noun,/litʁ/,litre,litro,升,Voici le litre.,Here it is.,Aquí está.,这是升。,machine-assisted
486,219,livre,fr:livre:noun:1,livre,noun,/livʁ/,book,libro,书，书本，书籍,Ce livre est en français.,This book is in French.,Este libro está en francés.,这本书是法文的。,seed-reviewed
487,219,livre,fr:livre:noun:2,livre,noun,/livʁ/,pound (unit of weight); imperial pound ≈ 454 g,libra,半公斤；磅,On parle de la livre.,We are talking about it.,Estamos hablando de ello.,我们正在谈论半公斤。,machine-assisted
488,219,loin,fr:loin:adverb:1,loin,adverb,/lwɛ̃/,"far, distant",lejos,远,La gare est loin.,The station is far away.,La estación está lejos.,车站很远。,machine-assisted
489,219,Londres,fr:londres:proper_noun:1,Londres,proper_noun,/lɔ̃dʁ/,London (the capital city of the United Kingdom; the capital city of England),londres,伦敦（英国）,Je connais bien Londres.,I know London well.,Conozco bien Londres.,我很了解伦敦。,machine-assisted
490,219,long(ue),fr:long:adjective:1,long,adjective,/lɔ̃/,long,largo,长的,C’est quelque chose de long.,It is something long.,Es algo largo.,有点长了。,machine-assisted
491,219,longtemps,fr:longtemps:adverb:1,longtemps,adverb,/lɔ̃.tɑ̃/,for a long time; over a long period,mucho tiempo,长时间地,Nous avons attendu longtemps.,We waited for a long time.,Esperamos mucho tiempo.,我们等了很长时间。,machine-assisted
492,219,louer,fr:louer:verb:1,louer,verb,/lwe/,to rent,alquilar,出租；租用,Je vais louer une voiture.,I am going to rent a car.,Voy a alquilar un coche.,我要租一辆车。,machine-assisted
493,219,lundi,fr:lundi:noun:1,lundi,noun,/lœ̃.di/,Monday,lunes,星期一；周一,Le musée est fermé lundi.,The museum is closed on Monday.,El museo está cerrado el lunes.,博物馆周一闭馆。,machine-assisted
494,219,lunettes,fr:lunettes:noun:1,lunettes,noun,/ly.nɛt/,"spectacles, eyeglasses",gafas,眼镜,Voici les lunettes.,Here it is.,Aquí está.,这些是眼镜。,machine-assisted
495,219,madame (mesdames),fr:madame:noun:1,madame,noun,/ma.dam/,"a title or form of address for a woman, formerly for a married woman and now commonly for any adult woman regardless of marital status, used both in direct and third-person address","señora (vocativo). Se utiliza en presencia de la persona mencionada, en caso contrario se dice dame",夫人,On parle de la madame.,We are talking about it.,Estamos hablando de ello.,我们正在谈论夫人。,machine-assisted
496,219,magasin,fr:magasin:noun:1,magasin,noun,/ma.ɡa.zɛ̃/,"shop, store",almacén,商店,Voici le magasin.,Here it is.,Aquí está.,这是商店。,machine-assisted
497,219,magazine,fr:magazine:noun:1,magazine,noun,/ma.ɡa.zin/,magazine (periodical publication),revista,杂志,Voici le magazine.,Here it is.,Aquí está.,这是杂志。,machine-assisted
498,219,magnifique,fr:magnifique:adjective:1,magnifique,adjective,/ma.ɲi.fik/,"magnificent, splendid, superb",magnífico,壮丽的；豪华的；极美的，极好的；非凡的,C’est quelque chose de magnifique.,"It is something magnificent, splendid, superb.",Es algo magnífico.,这是一件了不起的事情。,machine-assisted
499,219,mai,fr:mai:noun:1,mai,noun,/mɛ/,May (month),mayo,五月,Les examens commencent en mai.,The exams start in May.,Los exámenes empiezan en mayo.,考试五月开始。,machine-assisted
500,219,maintenant,fr:maintenant:adverb:1,maintenant,adverb,/mɛ̃t.nɑ̃/,"now, currently",ahora,现在，目前,Nous pouvons partir maintenant.,We can leave now.,Podemos salir ahora.,我们现在可以走了。,machine-assisted
501,219,mais,fr:mais:conjunction:1,mais,conjunction,/mɛ/,"but, although",pero,可是，但是，然而；在某些惊叹句或疑问句中，表示惊讶、怀疑、愤慨等情绪,"Il est fatigué, mais il continue.","He is tired, but he carries on.","Está cansado, pero continúa.",他很累，但他仍在继续。,machine-assisted
502,219,maison,fr:maison:noun:1,maison,noun,/mɛ.zɔ̃/,house; home,casa,房子；家,Notre maison est près de l’école.,Our house is near the school.,Nuestra casa está cerca de la escuela.,我们家离学校很近。,seed-reviewed
503,219,malade,fr:malade:adjective:1,malade,adjective,/ma.lad/,"ill, unwell, sick",enfermo,生病的,C’est quelque chose de malade.,"It is something ill, unwell, sick.",Es algo enfermo.,这是生病的。,machine-assisted
504,219,manger,fr:manger:verb:1,manger,verb,/mɑ̃.ʒe/,to eat,comer,吃,Nous mangeons du pain.,We are eating bread.,Estamos comiendo pan.,我们吃面包。,seed-reviewed
505,219,marché,fr:marché:noun:1,marché,noun,/maʁ.ʃe/,market,mercado,市场；集市,Voici le marché.,Here it is.,Aquí está.,这是市场。,machine-assisted
506,219,marcher,fr:marcher:verb:1,marcher,verb,/maʁ.ʃe/,to walk,caminar,走，行走,Nous allons marcher jusqu’au village.,We are going to walk to the village.,Vamos a caminar hasta el pueblo.,我们将步行到村庄。,machine-assisted
507,219,mardi,fr:mardi:noun:1,mardi,noun,/maʁ.di/,Tuesday,martes,周二,Nous avons cours mardi.,We have class on Tuesday.,Tenemos clase el martes.,星期二我们有课。,machine-assisted
508,219,mari,fr:mari:noun:1,mari,noun,/ma.ʁi/,husband,marido,丈夫,On parle du mari.,We are talking about it.,Estamos hablando de ello.,我们正在谈论丈夫。,machine-assisted
509,219,mariage,fr:mariage:noun:1,mariage,noun,/ma.ʁjaʒ/,marriage,matrimonio,结婚,Voici le mariage.,Here it is.,Aquí está.,这是结婚。,machine-assisted
510,219,Marianne,fr:marianne:proper_noun:1,Marianne,proper_noun,/ma.ʁjan/,"a female given name, a combination of Marie and Anne","nombre de pila de mujer, equivalente del español Mariana",玛丽安娜（法国共和国的象征）,Je connais bien Marianne.,"I know a female given name, a combination of Marie and Anne well.","Conozco bien Nombre de pila de mujer, equivalente del español Mariana.",我很了解玛丽安。,machine-assisted
511,219,marier(se),fr:marier:verb:1,marier,verb,/ma.ʁje/,"to marry, to marry off; to perform or cause the marriage of",casar,结婚,Je vais marier ce couple.,I am going to marry this couple.,Voy a casar a esta pareja.,我要为这对新人主持婚礼。,machine-assisted
512,219,Maroc,fr:maroc:proper_noun:1,Maroc,proper_noun,/ma.ʁɔk/,Morocco (a country in North Africa),marruecos,摩洛哥,Je connais bien Maroc.,I know Morocco well.,Conozco bien Marruecos.,我很了解摩洛哥。,machine-assisted
513,219,Marseille,fr:marseille:proper_noun:1,Marseille,proper_noun,/maʁ.sɛj/,"Marseille (the capital city of Bouches-du-Rhône department, France; the capital city of the region of Provence-Alpes-Côte d'Azur)",marsella,马赛（法国）,Je connais bien Marseille.,I know Marseille well.,Conozco bien Marsella.,我很了解马赛。,machine-assisted
514,219,match,fr:match:noun:1,match,noun,/matʃ/,"match, game",partido,比赛,On parle du match.,We are talking about it.,Estamos hablando de ello.,我们正在谈论比赛。,machine-assisted
515,219,matin,fr:matin:noun:1,matin,noun,/ma.tɛ̃/,morning,mañana,早晨,Je prends un café le matin.,I have a coffee in the morning.,Tomo un café por la mañana.,我早上喝咖啡。,machine-assisted
516,219,mauvais(e),fr:mauvais:adjective:1,mauvais,adjective,/mo.vɛ/,bad,"malo, mal",坏的，不好的,C’est quelque chose de mauvais.,It is something bad.,"Es algo malo, mal.",这是一件坏事。,machine-assisted
517,219,médecin,fr:médecin:noun:1,médecin,noun,/med.sɛ̃/,physician; (medical) doctor,médico,医生,On parle des médecins.,We are talking about it.,Estamos hablando de ello.,我们正在谈论医生。,machine-assisted
518,219,méditerranéen(enne),fr:méditerranéen:adjective:1,méditerranéen,adjective,/me.di.tɛ.ʁa.ne.ɛ̃/,Mediterranean,mediterráneo,地中海的,C’est quelque chose de méditerranéen.,It is something Mediterranean.,Es algo mediterráneo.,这是地中海的东西。,machine-assisted
519,219,même,fr:même:adverb:1,même,adverb,/mɛm/,even,incluso,同样的；相同的,Même Paul connaît la réponse.,Even Paul knows the answer.,Hasta Paul conoce la respuesta.,甚至保罗也知道答案。,machine-assisted
520,219,ménage,fr:ménage:noun:1,ménage,noun,/me.naʒ/,"housework, housekeeping",paramento,家务,On parle du ménage.,We are talking about it.,Estamos hablando de ello.,我们正在谈论家务。,machine-assisted
521,219,faire le ménage,fr:faire le ménage:verb:1,faire le ménage,verb,/fɛʁ lə me.naʒ/,"to do the housework, the household chores",hacer la limpieza,做清洁，打扫屋子,Elle fait le ménage le matin.,She does the cleaning in the morning.,Hace la limpieza por la mañana.,她早上打扫卫生。,machine-assisted
522,220,mer,fr:mer:noun:1,mer,noun,/mɛʁ/,sea (large body of water),mar,大海,Voici la mer.,Here it is.,Aquí está.,这是大海。,machine-assisted
523,220,merci,fr:merci:interjection:1,merci,interjection,/mɛʁ.si/,thank you; thanks,gracias,谢谢,Merci pour votre aide.,Thank you for your help.,Gracias por su ayuda.,感谢您的帮助。,seed-reviewed
524,220,mercredi,fr:mercredi:noun:1,mercredi,noun,/mɛʁ.kʁə.di/,Wednesday,miércoles,周三,Je travaille mercredi.,I work on Wednesday.,Trabajo el miércoles.,我星期三工作。,machine-assisted
525,220,météo,fr:météo:noun:1,météo,noun,/me.te.o/,weather (general state of weather),clima,气象预报（的缩写）,Voici la météo.,Here it is.,Aquí está.,这是气象预报（的缩写）。,machine-assisted
526,220,bulletin météo,fr:bulletin météo:expression:1,bulletin météo,expression,/byltˈɛ̃ meteˈo/,weather forecast,pronóstico meteorológico,天气预报,J’écoute le bulletin météo chaque matin.,I listen to the weather forecast every morning.,Escucho el pronóstico meteorológico cada mañana.,我每天早上都会听天气预报。,machine-assisted
527,220,mètre,fr:mètre:noun:1,mètre,noun,/mɛtʁ/,metre/meter,metro,米,Voici le mètre.,Here it is.,Aquí está.,这是米。,machine-assisted
528,220,mètre carré,fr:mètre carré:noun:1,mètre carré,noun,/mɛ.tʁə ka.ʁe/,"square metre, square meter (standard unit of area)",metro cuadrado,平方米,On parle des mètre carré.,We are talking about it.,Estamos hablando de ello.,我们正在谈论平方米。,machine-assisted
529,220,métro,fr:métro:noun:1,métro,noun,/me.tʁo/,"metro; subway (US), underground (UK), Tube (UK)",metro,地铁,On parle du métro.,We are talking about it.,Estamos hablando de ello.,我们正在谈论地铁。,machine-assisted
530,220,mettre,fr:mettre:verb:1,mettre,verb,/mɛtʁ/,to put; to place,"poner, colocar, meter",放置，摆放,Je vais mettre mon manteau.,I am going to put my coat.,Voy a poner mi abrigo.,我要穿上外套了。,machine-assisted
531,220,meuble,fr:meuble:noun:1,meuble,noun,/mœbl/,piece of furniture,mueble,家具,Voici le meuble.,Here it is.,Aquí está.,这是家具。,machine-assisted
532,220,midi,fr:midi:noun:1,midi,noun,/mi.di/,"noon, midday (time of the day at which the sun reaches its highest point)",mediodía,中午，正午,Nous déjeunons à midi.,We have lunch at noon.,Almorzamos al mediodía.,中午我们吃午饭。,machine-assisted
533,220,minéral(e),fr:minéral:noun:1,minéral,noun,/mi.ne.ʁal/,"mineral, ore",mineral,矿物质的；含矿物质的,Voici le minéral.,Here it is.,Aquí está.,这是矿物质的。,machine-assisted
534,220,eau minérale,fr:eau minérale:noun:1,eau minérale,noun,/o mi.ne.ʁal/,mineral water,agua mineral,矿泉水,Voici les eau minérale.,Here it is.,Aquí está.,这些是矿泉水。,machine-assisted
535,220,ministère,fr:ministère:noun:1,ministère,noun,/mi.nis.tɛʁ/,ministry,ministerio,部；部委,On parle du ministère.,We are talking about it.,Estamos hablando de ello.,我们正在谈论部。,machine-assisted
536,220,minute,fr:minute:noun:1,minute,noun,/mi.nyt/,"minute (etymology 1, time unit, all same senses)",minuto,分钟,Voici la minute.,Here it is.,Aquí está.,这是分钟。,machine-assisted
537,220,mois,fr:mois:noun:1,mois,noun,/mwa/,month,mes₁₋₃,月，月份,Voici le mois.,Here it is.,Aquí está.,这是月。,machine-assisted
538,220,môme,fr:môme:noun:1,môme,noun,/mom/,"kid, brat",crío,《俗》小孩；小家伙,On parle des mômes.,We are talking about it.,Estamos hablando de ello.,我们正在谈论小孩。,machine-assisted
539,220,moment,fr:moment:noun:1,moment,noun,/mɔ.mɑ̃/,moment (point in time),momento,时刻,Voici le moment.,Here it is.,Aquí está.,这是时刻。,machine-assisted
540,220,monde,fr:monde:noun:1,monde,noun,/mɔ̃d/,world,mundo,世界；人们,On parle du monde.,We are talking about it.,Estamos hablando de ello.,我们正在谈论世界。,machine-assisted
541,220,monsieur,fr:monsieur:noun:1,monsieur,noun,/mə.sjø/,"mister, sir (a title or form of address for a man, used with or without the name in direct or third-person address)",señor,先生,Voici le monsieur.,Here it is.,Aquí está.,这是先生。,machine-assisted
542,220,montagne,fr:montagne:noun:1,montagne,noun,/mɔ̃.taɲ/,mountain,montaña,山,On parle de la montagne.,We are talking about it.,Estamos hablando de ello.,我们正在谈论山。,machine-assisted
543,220,monter,fr:monter:verb:1,monter,verb,/mɔ̃.te/,"to go up, to climb (go to a higher position)",aumentar,登上，上升,Je monte au troisième étage.,I am going up to the third floor.,Subo a la tercera planta.,我上三楼。,machine-assisted
544,220,Montréal,fr:montréal:proper_noun:1,Montréal,proper_noun,/mɔ̃.ʁe.al/,"Montreal (an island on which is situated the largest city in Quebec, Canada)",Montreal,蒙特利尔（加拿大）,Je connais bien Montréal.,I know Montreal well.,Conozco bien Montreal.,我很了解蒙特利尔。,machine-assisted
545,220,mot,fr:mot:noun:1,mot,noun,/mo/,word,palabra o vocablo,词语,Voici le mot.,Here it is.,Aquí está.,这是词语。,machine-assisted
546,220,moto,fr:moto:noun:1,moto,noun,/mɔ.to/,"bike, motorbike (motorcycle)",moto,摩托车,On parle de la moto.,We are talking about it.,Estamos hablando de ello.,我们正在谈论摩托车。,machine-assisted
547,220,moyenne,fr:moyenne:noun:1,moyenne,noun,/mwa.jɛn/,"average, mean",media,中等；平均数，平均值,On parle de la moyenne.,We are talking about it.,Estamos hablando de ello.,我们正在谈论中等。,machine-assisted
548,220,en moyenne,fr:en moyenne:adverb:1,en moyenne,adverb,/ɑ̃ mwa.jɛn/,on average,por término medio,平均,Je marche une heure par jour en moyenne.,I walk for an hour a day on average.,Camino una hora al día de media.,我平均每天步行一小时。,machine-assisted
549,220,muguet,fr:muguet:noun:1,muguet,noun,/my.ɡɛ/,lily of the valley (Convallaria majalis),lirio del valle,铃兰,On parle du muguet.,We are talking about it.,Estamos hablando de ello.,我们正在谈论铃兰。,machine-assisted
550,220,mur,fr:mur:noun:1,mur,noun,/myʁ/,wall,muro o pared,墙，壁,Voici le mur.,Here it is.,Aquí está.,这是墙。,machine-assisted
551,220,musculation,fr:musculation:noun:1,musculation,noun,/mys.ky.la.sjɔ̃/,"muscle-building, bodybuilding, strength training, resistance training",musculación,肌肉锻炼,Voici la musculation.,Here it is.,Aquí está.,这是肌肉锻炼。,machine-assisted
552,220,musée,fr:musée:noun:1,musée,noun,/my.ze/,"museum (a building or institution dedicated to the acquisition, conservation, study, exhibition, and educational interpretation of objects having scientific, historical, cultural or artistic value)",museo,博物馆,On parle du musée.,We are talking about it.,Estamos hablando de ello.,我们正在谈论博物馆。,machine-assisted
553,220,musicien(ne),fr:musicien:noun:1,musicien,noun,/my.zi.sjɛ̃/,musician,músico,音乐家，作曲家，演奏家,On parle du musicien.,We are talking about it.,Estamos hablando de ello.,我们正在谈论音乐家。,machine-assisted
554,220,musique,fr:musique:noun:1,musique,noun,/my.zik/,music,música,音乐，乐曲,On parle de la musique.,We are talking about it.,Estamos hablando de ello.,我们正在谈论音乐。,machine-assisted
555,220,nager,fr:nager:verb:1,nager,verb,/na.ʒe/,to swim,nadar,游泳,Elle va nager dans la piscine.,She is going to swim in the pool.,Va a nadar en la piscina.,她要去游泳池里游泳。,machine-assisted
556,220,natation,fr:natation:noun:1,natation,noun,/na.ta.sjɔ̃/,"swimming, natation",natación,游泳,Voici la natation.,Here it is.,Aquí está.,这是游泳。,machine-assisted
557,220,nationalité,fr:nationalité:noun:1,nationalité,noun,/na.sjɔ.na.li.te/,nationality,nacionalidad,国籍,Voici la nationalité.,Here it is.,Aquí está.,这是国籍。,machine-assisted
